139,High,A2-B2BACC-APP,172.16.93.187
139,High,Beyond-SANF-1,172.16.93.19
139,High,a2is-PPU-SVR,172.16.93.191
139,High,#N/A,172.16.93.195
139,High,a2is-schedpmt,172.16.93.196
139,High,A2-VAMANDIRI-16,172.16.93.20
139,High,#N/A,172.16.93.221
139,High,#N/A,172.16.93.202
139,High,IT-Repository-19,172.16.93.24
139,High,A2-BFIWeb,172.16.93.239
139,High,A2-dcmain19-2,172.16.93.242
139,High,a2-git-repo,172.16.93.247
139,High,cisadane-uws12,172.16.93.28
139,High,a2-logbook,172.16.93.3
139,High,a2iscomm1-API,172.16.93.37
139,High,a2iscomm2-API,172.16.93.38
139,High,a2-appswebx-2012,172.16.93.39
139,High,cisadane-uws7,172.16.93.40
139,High,cisadane-uws8,172.16.93.41
139,High,A2-G5Appsvr-2,172.16.93.42
139,High,A2IS-B2BBHC,172.16.93.44
139,High,A2-CL-AAB-12,172.16.93.45
139,High,A2-CL-FIF-12,172.16.93.46
139,High,RAAS,172.16.93.47
139,High,a2is-iTopWeb19,172.16.93.5
139,High,A2-G5Appsvr,172.16.93.50
139,High,a2G5-HealthRpt1,172.16.93.51
139,High,A2-G5appsvr-3,172.16.93.52
139,High,AAB-DCMAIN08,172.16.93.53
139,High,b2bfif-pop,172.16.93.54
139,High,cisadane-uws1,172.16.93.56
139,High,cisadane-uws2,172.16.93.57
139,High,a2finanBizAPI19,172.16.93.6
139,High,a2-messaging,172.16.93.61
139,High,Cisadane-UWS13,172.16.93.62
139,High,AAB-ANTRIAN,172.16.93.66
139,High,cisadane-uws9,172.16.93.68
139,High,cisadane-uws10,172.16.93.69
139,High,a2is-crakweb1,172.16.93.71
139,High,Cisadane-UWS14,172.16.93.72
139,High,a2is-signalr-cti,172.16.93.73
139,High,a2ishealth-uws3,172.16.93.74
139,High,a2ishealth-uws4,172.16.93.75
139,High,A2ISDC-REPODB,172.16.93.78
139,High,Cisadane-UWS15,172.16.93.79
139,High,a2finanAPI19,172.16.93.8
139,High,a2iscomm3-API,172.16.93.91
139,High,#N/A,172.16.93.94
139,High,cisadane-uws9-1,172.16.93.96
161,High,a2-infor-app,172.16.50.1
445,High,B2BTAFS2,10.7.15.3
445,High,a2-B2BTAF-App,10.7.15.4
445,High,a2is-marine,172.16.10.34
445,High,AAB-Leadtime,172.16.10.50
445,High,AAB-ByndInt1-12,172.16.10.51
445,High,A2-ByndInt1-12,172.16.10.53
445,High,cisadane-rp1,172.16.10.242
445,High,A2-BFIApp,172.16.10.86
445,High,cisadane-rp2,172.16.10.245
445,High,ITPFIF,172.16.11.11
445,High,A2-BYNDINT6-12,172.16.11.229
445,High,A2-BYNDINT61-12,172.16.11.230
445,High,AAB-BEYONDK2A,172.16.13.20
445,High,AAB-BeyondK2b,172.16.13.48
445,High,A2-BYNDINT3-12,172.16.14.119
445,High,AAB-BEYONDINT3,172.16.14.121
445,High,AAB-BEYONDINT4,172.16.14.122
445,High,A2-BYNDINT4-12,172.16.14.138
445,High,A2-FIF-WEBSVC,172.16.15.140
445,High,A2-B2BACC-CLNT,172.16.16.231
445,High,A2-ACC-DocMaker,172.16.16.60
445,High,A2-B2BTAF-CLNT,172.16.17.17
445,High,a2-TAFWebSvc16,172.16.17.145
445,High,AAB-BEYONDINT5,172.16.19.120
445,High,A2-BYNDINT5-12,172.16.19.197
445,High,a2-beyondspa-19,172.16.20.92
445,High,a2-beyondspb-19,172.16.20.93
445,High,Beyond-FIF,172.16.204.5
445,High,AAB-BYNDB2BWEB1,172.16.22.141
445,High,A2-BYNDB2BWEB1,172.16.22.142
445,High,A2-ByndIntb-12,172.16.24.39
445,High,A2-ByndIntd-12,172.16.24.91
445,High,a2-exch16-1,172.16.3.110
445,High,a2-exch16-2,172.16.3.111
445,High,a2is-MobileApp1,172.16.5.123
445,High,SalesMobileApp1,172.16.5.132
445,High,a2is-mobileApp,172.16.5.150
445,High,SurveyMobApp2,172.16.5.202
445,High,SurveyMobileApp,172.16.5.61
445,High,a2-ByndExt2-12,172.16.5.95
445,High,a2-ByndExt1-12,172.16.5.97
445,High,a2FinanDB19,172.16.7.10
445,High,a2FinanDBRPT19,172.16.7.11
445,High,a2is-bynddb-pa,172.16.7.12
445,High,a2is-k2db,172.16.7.13
445,High,#N/A,172.16.7.125
445,High,#N/A,172.16.7.126
445,High,#N/A,172.16.7.131
445,High,#N/A,172.16.7.132
445,High,a2is-PAM-DB,172.16.7.138
445,High,#N/A,172.16.7.145
445,High,a2-infor-db,172.16.50.2
445,High,a2is-opex,172.16.50.3
445,High,a2is-ifrs,172.16.50.8
445,High,#N/A,172.16.50.9
445,High,#N/A,172.16.50.10
445,High,AAB-FIFCLAIM,172.16.51.1
445,High,A2is-VMS,172.16.51.2
445,High,#N/A,172.16.51.3
445,High,#N/A,172.16.51.4
445,High,#N/A,172.16.51.5
445,High,a2is-siap,172.16.51.7
445,High,a2is-Wallboard2,172.16.51.8
445,High,Cisadane-Uws17,172.16.51.9
445,High,a2is-kportweb,172.16.51.10
445,High,a2is-kportdb,172.16.51.11
